index,mid,display_name
0,/m/09x0r,speech
1,/m/05zppz,"male speech, man speaking"
2,/m/02zsn,"female speech, woman speaking"
3,/m/0ytgt,"child speech, kid speaking"
4,/m/01h8n0,conversation
5,/m/02qldy,"narration, monologue"
6,/m/0261r1,babbling
7,/m/0brhx,speech synthesizer
8,/m/07p6fty,shout
9,/m/07q4ntr,bellow
10,/m/07rwj3x,whoop
11,/m/07sr1lc,yell
12,/m/04gy_2,battle cry
13,/t/dd00135,children shouting
14,/m/03qc9zr,screaming
15,/m/02rtxlg,whispering
16,/m/01j3sz,laughing
17,/t/dd00001,baby laughter
18,/m/07r660_,giggle
19,/m/07s04w4,snicker
20,/m/07sq110,belly laugh
21,/m/07rgt08,"chuckle, chortle"
22,/m/0463cq4,"crying, sobbing"
23,/t/dd00002,"baby cry, infant cry"
24,/m/07qz6j3,whimper
25,/m/07qw_06,"wail, moan"
26,/m/07plz5l,sigh
27,/m/015lz1,singing
28,/m/0l14jd,choir
29,/m/01swy6,yodeling
30,/m/02bk07,chant
31,/m/01c194,mantra
32,/t/dd00003,male singing
33,/t/dd00004,female singing
34,/t/dd00005,child singing
35,/t/dd00006,synthetic singing
36,/m/06bxc,rapping
37,/m/02fxyj,humming
38,/m/07s2xch,groan
39,/m/07r4k75,grunt
40,/m/01w250,whistling
41,/m/0lyf6,breathing
42,/m/07mzm6,wheeze
43,/m/01d3sd,snoring
44,/m/07s0dtb,gasp
45,/m/07pyy8b,pant
46,/m/07q0yl5,snort
47,/m/01b_21,coughing
48,/m/0dl9sf8,throat clearing
49,/m/01hsr_,sneezing
50,/m/07ppn3j,sniff
51,/m/06h7j,run
52,/m/07qv_x_,shuffle
53,/m/07pbtc8,footsteps
54,/m/03cczk,"chewing, mastication"
55,/m/07pdhp0,biting
56,/m/0939n_,gargling
57,/m/01g90h,stomach rumble
58,/m/03q5_w,"burping, eructation"
59,/m/02p3nc,hiccup
60,/m/02_nn,fart
61,/m/0k65p,hands
62,/m/025_jnm,finger snapping
63,/m/0l15bq,clapping
64,/m/01jg02,"heart sounds, heartbeat"
65,/m/01jg1z,heart murmur
66,/m/053hz1,cheering
67,/m/028ght,applause
68,/m/07rkbfh,chatter
69,/m/03qtwd,crowd
70,/m/07qfr4h,"hubbub, speech noise, speech babble"
71,/t/dd00013,children playing
72,/m/0jbk,animal
73,/m/068hy,"domestic animals, pets"
74,/m/0bt9lr,dog
75,/m/05tny_,bark
76,/m/07r_k2n,yip
77,/m/07qf0zm,howl
78,/m/07rc7d9,bow-wow
79,/m/0ghcn6,growling
80,/t/dd00136,whimper (dog)
81,/m/01yrx,cat
82,/m/02yds9,purr
83,/m/07qrkrw,meow
84,/m/07rjwbb,hiss
85,/m/07r81j2,caterwaul
86,/m/0ch8v,"livestock, farm animals, working animals"
87,/m/03k3r,horse
88,/m/07rv9rh,clip-clop
89,/m/07q5rw0,"neigh, whinny"
90,/m/01xq0k1,"cattle, bovinae"
91,/m/07rpkh9,moo
92,/m/0239kh,cowbell
93,/m/068zj,pig
94,/t/dd00018,oink
95,/m/03fwl,goat
96,/m/07q0h5t,bleat
97,/m/07bgp,sheep
98,/m/025rv6n,fowl
99,/m/09b5t,rooster
100,/m/07st89h,cluck
101,/m/07qn5dc,"crowing, cock-a-doodle-doo"
102,/m/01rd7k,turkey
103,/m/07svc2k,gobble
104,/m/09ddx,duck
105,/m/07qdb04,quack
106,/m/0dbvp,goose
107,/m/07qwf61,honk
108,/m/01280g,wild animals
109,/m/0cdnk,"roaring cats (lions, tigers)"
110,/m/04cvmfc,roar
111,/m/015p6,bird
112,/m/020bb7,"bird vocalization, bird call, bird song"
113,/m/07pggtn,"chirp, tweet"
114,/m/07sx8x_,squawk
115,/m/0h0rv,"pigeon, dove"
116,/m/07r_25d,coo
117,/m/04s8yn,crow
118,/m/07r5c2p,caw
119,/m/09d5_,owl
120,/m/07r_80w,hoot
121,/m/05_wcq,"bird flight, flapping wings"
122,/m/01z5f,"canidae, dogs, wolves"
123,/m/06hps,"rodents, rats, mice"
124,/m/04rmv,mouse
125,/m/07r4gkf,patter
126,/m/03vt0,insects
127,/m/09xqv,crickets
128,/m/09f96,mosquito
129,/m/0h2mp,"fly, housefly"
130,/m/07pjwq1,buzz
131,/m/01h3n,"bee, wasp, etc."
132,/m/09ld4,frog
133,/m/07st88b,croak
134,/m/078jl,snake
135,/m/07qn4z3,rattle
136,/m/032n05,whale vocalization
137,/m/04rlf,music
138,/m/04szw,musical instrument
139,/m/0fx80y,plucked string instrument
140,/m/0342h,guitar
141,/m/02sgy,electric guitar
142,/m/018vs,bass guitar
143,/m/042v_gx,acoustic guitar
144,/m/06w87,"steel guitar, slide guitar"
145,/m/01glhc,tapping (guitar technique)
146,/m/07s0s5r,strum
147,/m/018j2,banjo
148,/m/0jtg0,sitar
149,/m/04rzd,mandolin
150,/m/01bns_,zither
151,/m/07xzm,ukulele
152,/m/05148p4,keyboard (musical)
153,/m/05r5c,piano
154,/m/01s0ps,electric piano
155,/m/013y1f,organ
156,/m/03xq_f,electronic organ
157,/m/03gvt,hammond organ
158,/m/0l14qv,synthesizer
159,/m/01v1d8,sampler
160,/m/03q5t,harpsichord
161,/m/0l14md,percussion
162,/m/02hnl,drum kit
163,/m/0cfdd,drum machine
164,/m/026t6,drum
165,/m/06rvn,snare drum
166,/m/03t3fj,rimshot
167,/m/02k_mr,drum roll
168,/m/0bm02,bass drum
169,/m/011k_j,timpani
170,/m/01p970,tabla
171,/m/01qbl,cymbal
172,/m/03qtq,hi-hat
173,/m/01sm1g,wood block
174,/m/07brj,tambourine
175,/m/05r5wn,rattle (instrument)
176,/m/0xzly,maraca
177,/m/0mbct,gong
178,/m/016622,tubular bells
179,/m/0j45pbj,mallet percussion
180,/m/0dwsp,"marimba, xylophone"
181,/m/0dwtp,glockenspiel
182,/m/0dwt5,vibraphone
183,/m/0l156b,steelpan
184,/m/05pd6,orchestra
185,/m/01kcd,brass instrument
186,/m/0319l,french horn
187,/m/07gql,trumpet
188,/m/07c6l,trombone
189,/m/0l14_3,bowed string instrument
190,/m/02qmj0d,string section
191,/m/07y_7,"violin, fiddle"
192,/m/0d8_n,pizzicato
193,/m/01xqw,cello
194,/m/02fsn,double bass
195,/m/085jw,"wind instrument, woodwind instrument"
196,/m/0l14j_,flute
197,/m/06ncr,saxophone
198,/m/01wy6,clarinet
199,/m/03m5k,harp
200,/m/0395lw,bell
201,/m/03w41f,church bells
202,/m/027m70_,jingle bell
203,/m/0gy1t2s,bicycle bell
204,/m/07n_g,tuning fork
205,/m/0f8s22,chime
206,/m/026fgl,wind chime
207,/m/0150b9,change ringing (campanology)
208,/m/03qjg,harmonica
209,/m/0mkg,accordion
210,/m/0192l,bagpipes
211,/m/02bxd,didgeridoo
212,/m/0l14l2,shofar
213,/m/07kc_,theremin
214,/m/0l14t7,singing bowl
215,/m/01hgjl,scratching (performance technique)
216,/m/064t9,pop music
