target,category
0,dog
1,rooster
2,pig
3,cow
4,frog
5,cat
6,hen
7,insects
8,sheep
9,crow
10,rain
11,sea waves
12,crackling fire
13,crickets
14,chirping birds
15,water drops
16,wind
17,pouring water
18,toilet flush
19,thunderstorm
20,crying baby
21,sneezing
22,clapping
23,breathing
24,coughing
25,footsteps
26,laughing
27,brushing teeth
28,snoring
29,drinking sipping
30,door wood knock
31,mouse click
32,keyboard typing
33,door wood creaks
34,can opening
35,washing machine
36,vacuum cleaner
37,clock alarm
38,clock tick
39,glass breaking
40,helicopter
41,chainsaw
42,siren
43,car horn
44,engine
45,train
46,church bells
47,airplane
48,fireworks
49,hand saw
